Região;UF;Cidade;Sexo;Faixa Etária;Data Finalização;Tempo Resposta;Nome Fantasia;Segmento de Mercado;Área;Assunto;Grupo Problema;Problema;Como Comprou Contratou;Procurou Empresa;Respondida;Situação;Avaliação Reclamação;Nota do Consumidor
NE;MA;São Luís;M;entre 41 a 50 anos;2024-09-01;3;Equatorial Maranhão (CEMAR);Energia Elétrica;Água, Energia, Gás;Energia Elétrica;Cobrança / Contestação;Cobrança de tarifas, taxas, valores não previstos / não informados;Internet;S;S;Finalizada avaliada;Não Resolvida;1
SE;SP;São Roque;F;entre 31 a 40 anos;2024-09-17;9;Mercado Pago;Empresas de Pagamento Eletrônico;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Negativação indevida referente à pagamento já efetuado;Não comprei / contratei;S;S;Finalizada avaliada;Resolvida;5
CO;DF;Brasília;M;entre 41 a 50 anos;2024-09-12;10;Latam Pass;Programas de Fidelidade;Demais Serviços ;Programas de Fidelidade / Benefícios (pontos, milhagem etc);Entrega do Produto;Não entrega / demora na entrega do produto;Internet;N;S;Finalizada avaliada;Não Resolvida;1
NE;BA;Salvador;M;entre 31 a 40 anos;2024-09-25;10;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Vício de Qualidade;Dificuldade para alterar/ ativar serviços;Telefone;S;S;Finalizada avaliada;Não Resolvida;1
N ;AM;Manaus;F;entre 31 a 40 anos;2024-09-03;3;Trigg;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Atendimento / SAC;SAC - Demanda não resolvida / não respondida / respondida após o prazo;Telefone;S;S;Finalizada avaliada;Não Resolvida;1
SE;SP;Taboão da Serra;F;entre 31 a 40 anos;2024-09-15;10;Uber;Empresas de Intermediação de Serviços / Negócios;Demais Serviços ;Aplicativo de mobilidade urbana;Cobrança / Contestação;Cobrança de tarifas, taxas, valores não previstos / não informados;Não comprei / contratei;S;S;Finalizada avaliada;Não Resolvida;1
SE;SP;São José dos Campos;M;entre 21 a 30 anos;2024-09-24;10;Uber;Empresas de Intermediação de Serviços / Negócios;Demais Serviços ;Aplicativo de mobilidade urbana;Cobrança / Contestação;Cobrança em duplicidade / Cobrança referente a pagamento já efetuado;Não comprei / contratei;S;S;Finalizada avaliada;Resolvida;4
S ;RS;Porto Alegre;M;entre 21 a 30 anos;2024-09-01;10;SKY;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Cobrança / Contestação;Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo;Não comprei / contratei;S;S;Finalizada avaliada;Resolvida;5
S ;RS;Porto Alegre;M;entre 21 a 30 anos;2024-09-01;6;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Móvel;Atendimento / SAC;SAC - Dificuldade de contato / acesso;Internet;S;S;Finalizada avaliada;Resolvida;5
NE;PE;Olinda;M;entre 31 a 40 anos;2024-09-21;5;Ativos S.A;Empresas de Recuperação de Crédito;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas);Não comprei / contratei;S;S;Finalizada avaliada;Não Resolvida;1
S ;SC;Blumenau;F;entre 31 a 40 anos;2024-09-16;21;Magazine Luiza - Loja Online;Comércio Eletrônico;Demais Produtos;Utilidades Domésticas e Decoração (para limpeza, cozinha, cama, mesa e banho, tapetes, cortinas, persianas, jardinagem etc);Cobrança / Contestação;Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores;Internet;S;S;Finalizada avaliada;Não Resolvida;1
NE;PE;Serra Talhada;M;entre 21 a 30 anos;2024-09-12;9;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pré-paga;Contrato / Oferta;Dificuldade para rescindir o contrato / cancelar o serviço;Não comprei / contratei;S;S;Finalizada avaliada;Não Resolvida;1
SE;MG;Pirapora;M;entre 21 a 30 anos;2024-09-04;9;Sem Parar;Empresas de Pagamento Eletrônico;Serviços Financeiros;Serviço de pagamento online/ via celular/ maquininha;Contrato / Oferta;Dificuldade para rescindir o contrato / cancelar o serviço;Ganhei de presente;S;S;Finalizada avaliada;Resolvida;1
NE;CE;Fortaleza;M;entre 31 a 40 anos;2024-09-05;8;Banco Santander;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Atendimento Bancário;Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Loja física;S;S;Finalizada avaliada;Não Resolvida;1
SE;SP;São Paulo;M;entre 31 a 40 anos;2024-09-20;5;iFood;Empresas de Intermediação de Serviços / Negócios;Demais Serviços ;Serviços de entrega / delivery;Cobrança / Contestação;Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores;Internet;S;S;Finalizada avaliada;Não Resolvida;1
S ;PR;Colombo;F;entre 21 a 30 anos;2024-09-04;10;Cartões Itaú;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cobrança em duplicidade / Cobrança referente a pagamento já efetuado;Internet;S;S;Finalizada avaliada;Resolvida;5
NE;BA;Salvador;F;entre 31 a 40 anos;2024-09-05;1;Esmaltec;Fabricantes - Linha Branca;Produtos Eletrodomésticos e Eletrônicos;Fogão, microondas, forno elétrico, depurador de ar e coifa;Vício de Qualidade;Produto danificado / não funciona - Falta de assistência técnica / falta de informações sobre assistência técnica;Loja física;N;S;Finalizada avaliada;Não Resolvida;1
CO;GO;Aparecida de Goiânia;F;entre 21 a 30 anos;2024-09-14;5;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Contrato / Oferta;Alteração de plano/contrato sem solicitação ou aviso prévio;Telefone;S;S;Finalizada avaliada;Resolvida;2
